marker_lat,marker_lng,proposed_name,text_lat,text_lng,horizontal_difference,vertical_difference,score,nearest_other_title,nearest_other_score,confidence,action,notes
-37.63163475580644,114.82910156250001,Santuit,-36.68608187767096,113.81790112001666,1.011200,0.945553,2.462354,Cotuit,3.213892,high,rename automatically,Close to and clearly separated from the next-nearest settlement title.
-47.66538735632655,99.38232421875001,Nobsque,-46.89020997262433,98.02001953125,1.362305,0.775177,2.818634,Sachonesset,10.166234,high,rename automatically,Close to and clearly separated from the next-nearest settlement title.
-28.03319784767635,106.10595703125001,Comasskumkanit,-27.839076094777816,103.82080078125001,2.285156,0.194122,3.621856,Aptuxcet,7.851934,high,rename automatically,Close to and clearly separated from the next-nearest settlement title.
-63.37183226679281,151.56738281250003,Squatesit,-59.18718526575666,149.98535156250003,1.582031,4.184647,6.557694,Satucket,7.542871,low,leave unchanged,Nearest settlement title is too far away for a visually obvious match.
-63.44068640036803,144.66796875000003,Miacomit,-62.60345318745797,142.93212890625003,1.735840,0.837233,3.440993,Shimmoh,5.466352,high,rename automatically,Close to and clearly separated from the next-nearest settlement title.
-59.60109549032134,150.93017578125003,Squatesit,-59.18718526575666,149.98535156250003,0.944824,0.413910,1.831147,Satucket,3.145914,high,rename automatically,Close to and clearly separated from the next-nearest settlement title.
31.725882537641308,-131.22224688860555,Kaunaumeek,32.50625615680383,-132.40458245675012,1.182336,0.780374,2.553877,Wnahtukook,45.835965,high,rename automatically,Close to and clearly separated from the next-nearest settlement title.
-31.541089879585822,81.43066406250001,Agawams,-31.42866311735861,80.11230468750001,1.318359,0.112427,2.089966,Sippican,14.235028,high,rename automatically,Close to and clearly separated from the next-nearest settlement title.
-13.325484885597936,145.28320312500003,Namskaket,-24.753550,147.248545,1.965342,11.428065,14.376078,Pamet,14.733739,duplicate,review,A named settlement marker (Namskaket) is closer to the proposed title.
64.650123754094,-39.66180298693398,Ktsi pontekw,65.34864542564475,-40.60616258442037,0.944360,0.698522,2.115061,Squakeag,10.212610,high,rename automatically,Close to and clearly separated from the next-nearest settlement title.
50.52739681329302,55.61279296875001,Wamesit,50.44351305245807,50.42724609375001,5.185547,0.083884,7.862204,Shawshinok,10.700513,low,leave unchanged,Nearest settlement title is too far away for a visually obvious match.
-57.124001816760575,113.77441406250001,Chappaquiddick,-57.36546210859709,110.21484355954729,3.559571,0.241460,5.580816,Weesquabs,16.991106,low,leave unchanged,Nearest settlement title is too far away for a visually obvious match.
-72.48189144841272,-8.371582031250002,Acabonack,-72.32913739787085,-15.314941406250002,6.943359,0.152754,10.567793,Munchogue,17.595359,low,leave unchanged,Nearest settlement title is too far away for a visually obvious match.
